15,980;21,0;25,9;30,9
15,870;20,9;25,8;30,8
15,740;20,8;25,7;30,7
15,620;20,6;25,6;30,6
15,490;20,5;25,4;30,4
15,370;20,4;25,3;30,3
15,260;20,3;25,2;30,2
15,140;20,2;25,1;30,1
15,020;20,0;25,0;30,0
14,910;19,9;24,8;29,9
14,790;19,8;24,7;29,7
14,690;19,7;24,6;29,6
14,580;19,6;24,5;29,5
14,470;19,5;24,4;29,4
14,370;19,4;24,3;29,3
14,260;19,3;24,2;29,2
14,160;19,2;24,1;29,1
14,060;19,1;24,0;29,0
13,960;19,0;23,9;28,9
13,860;18,9;23,8;28,8
13,750;18,8;23,7;28,7
13,660;18,7;23,6;28,6
13,570;18,6;23,5;28,5
13,480;18,5;23,4;28,4
13,390;18,4;23,3;28,3
13,290;18,3;23,2;28,2
13,200;18,2;23,1;28,2
13,110;18,1;23,0;28,1
13,030;18,0;23,0;28,0
12,940;18,0;22,9;27,9
12,850;17,9;22,8;27,8
12,760;17,8;22,7;27,7
12,680;17,7;22,6;27,6
12,590;17,6;22,5;27,5
12,520;17,5;22,5;27,5
12,430;17,4;22,4;27,4
12,350;17,4;22,3;27,3
12,270;17,3;22,2;27,2
12,190;17,2;22,1;27,1
12,110;17,1;22,0;27,1
12,030;17,0;22,0;27,0
11,950;17,0;21,9;26,9
11,870;16,9;21,8;26,8
11,800;16,8;21,7;26,8
11,720;16,7;21,7;26,7
11,650;16,7;21,6;26,6
11,580;16,6;21,5;26,5
11,500;16,5;21,4;26,5
11,430;16,4;21,4;26,4
11,350;16,4;21,3;26,3
11,280;16,3;21,2;26,2
11,210;16,2;21,1;26,2
11,140;16,2;21,1;26,1
11,070;16,1;21,0;26,0
11,000;16,0;20,9;26,0
10,930;15,9;20,9;25,9
10,860;15,9;20,8;25,8
10,790;15,8;20,7;25,7
10,730;15,7;20,7;25,7
10,660;15,7;20,6;25,6
10,590;15,6;20,5;25,5
10,530;15,5;20,5;25,5
10,460;15,5;20,4;25,4
10,390;15,4;20,3;25,3
10,330;15,3;20,3;25,3
10,260;15,3;20,2;25,2
10,200;15,2;20,1;25,2
10,140;15,2;20,1;25,1
10,070;15,1;20,0;25,0
10,010;15,0;19,9;25,0
9,940;15,0;19,9;24,9
9,880;14,9;19,8;24,8
9,820;14,8;19,8;24,8
9,760;14,8;19,7;24,7
9,700;14,7;19,6;24,7
9,640;14,7;19,6;24,6
9,570;14,6;19,5;24,5
9,520;14,5;19,5;24,5
9,450;14,5;19,4;24,4
9,390;14,4;19,3;24,3
9,330;14,3;19,3;24,3
9,270;14,3;19,2;24,2
9,220;14,2;19,2;24,2
9,160;14,2;19,1;24,1
9,100;14,1;19,0;24,1
9,040;14,1;19,0;24,0
8,980;14,0;18,9;23,9
8,920;13,9;18,9;23,9
8,870;13,9;18,8;23,8
8,810;13,8;18,7;23,8
8,750;13,8;18,7;23,7
8,700;13,7;18,6;23,7
8,640;13,7;18,6;23,6
8,590;13,6;18,5;23,5
8,530;13,5;18,5;23,5
8,470;13,5;18,4;23,4
8,410;13,4;18,3;23,4
8,360;13,4;18,3;23,3
8,300;13,3;18,2;23,3
8,250;13,3;18,2;23,2
8,190;13,2;18,1;23,1
8,140;13,2;18,1;23,1
8,080;13,1;18,0;23,0
8,030;13,0;18,0;23,0
7,970;13,0;17,9;22,9
7,920;12,9;17,9;22,9
7,860;12,9;17,8;22,8
7,810;12,8;17,7;22,8
7,760;12,8;17,7;22,7
7,700;12,7;17,6;22,7
7,650;12,7;17,6;22,6
7,600;12,6;17,5;22,6
7,550;12,6;17,5;22,5
7,490;12,5;17,4;22,4
7,440;12,5;17,4;22,4
7,390;12,4;17,3;22,3
7,330;12,3;17,3;22,3
7,280;12,3;17,2;22,2
7,230;12,2;17,2;22,2
7,180;12,2;17,1;22,1
7,120;12,1;17,1;22,1
7,070;12,1;17,0;22,0
7,020;12,0;17,0;22,0
6,970;12,0;16,9;21,9
6,920;11,9;16,9;21,9
6,860;11,9;16,8;21,8
6,810;11,8;16,7;21,8
6,760;11,8;16,7;21,7
6,710;11,7;16,6;21,7
6,660;11,7;16,6;21,6
6,610;11,6;16,5;21,6
6,560;11,6;16,5;21,5
6,510;11,5;16,4;21,5
6,450;11,5;16,4;21,4
6,400;11,4;16,3;21,4
6,350;11,4;16,3;21,3
6,300;11,3;16,2;21,3
6,250;11,3;16,2;21,2
6,200;11,2;16,1;21,2
6,150;11,2;16,1;21,1
6,100;11,1;16,0;21,1
6,050;11,1;16,0;21,0
6,000;11,0;15,9;21,0
5,950;11,0;15,9;20,9
5,900;10,9;15,8;20,9
5,850;10,9;15,8;20,8
5,800;10,8;15,7;20,8
5,750;10,8;15,7;20,7
5,700;10,7;15,6;20,7
5,650;10,7;15,6;20,6
5,590;10,6;15,5;20,5
5,550;10,6;15,5;20,5
5,500;10,5;15,4;20,5
5,450;10,5;15,4;20,4
5,400;10,4;15,3;20,4
5,350;10,4;15,3;20,3
5,300;10,3;15,2;20,3
5,250;10,3;15,2;20,2
5,200;10,2;15,1;20,2
5,150;10,2;15,1;20,1
5,090;10,1;15,0;20,0
5,040;10,1;15,0;20,0
4,990;10,0;14,9;19,9
4,940;10,0;14,9;19,9
4,890;9,9;14,8;19,8
4,840;9,9;14,8;19,8
4,790;9,8;14,7;19,7
4,740;9,8;14,7;19,7
4,690;9,7;14,6;19,6
4,640;9,7;14,6;19,6
4,590;9,6;14,5;19,5
4,540;9,6;14,5;19,5
4,490;9,5;14,4;19,4
4,440;9,5;14,4;19,4
4,390;9,4;14,3;19,3
4,340;9,4;14,3;19,3
4,290;9,3;14,2;19,2
4,240;9,3;14,2;19,2
4,190;9,2;14,1;19,1
4,140;9,2;14,1;19,1
4,080;9,1;14,0;19,0
4,030;9,0;14,0;19,0
3,980;9,0;13,9;18,9
3,930;8,9;13,9;18,9
3,890;8,9;13,8;18,8
3,830;8,8;13,8;18,8
3,780;8,8;13,7;18,7
3,730;8,7;13,7;18,7
3,680;8,7;13,6;18,6
3,630;8,6;13,6;18,6
3,580;8,6;13,5;18,5
3,530;8,5;13,5;18,5
3,470;8,5;13,4;18,4
3,420;8,4;13,4;18,4
3,370;8,4;13,3;18,3
3,320;8,3;13,3;18,3
3,270;8,3;13,2;18,2
3,220;8,2;13,2;18,2
3,170;8,2;13,1;18,1
3,110;8,1;13,0;18,1
3,060;8,1;13,0;18,0
3,000;8,0;12,9;18,0
2,960;8,0;12,9;17,9
2,900;7,9;12,8;17,9
2,850;7,9;12,8;17,8
2,800;7,8;12,7;17,8
2,750;7,8;12,7;17,7
2,700;7,7;12,6;17,7
2,650;7,7;12,6;17,6
2,590;7,6;12,5;17,5
2,540;7,6;12,5;17,5
2,480;7,5;12,4;17,4
2,430;7,4;12,4;17,4
2,380;7,4;12,3;17,3
2,320;7,3;12,3;17,3
2,270;7,3;12,2;17,2
2,220;7,2;12,2;17,2
2,170;7,2;12,1;17,1
2,110;7,1;12,0;17,1
2,060;7,1;12,0;17,0
2,000;7,0;11,9;17,0
1,950;7,0;11,9;16,9
1,890;6,9;11,8;16,8
1,840;6,9;11,8;16,8
1,780;6,8;11,7;16,7
1,720;6,7;11,7;16,7
1,670;6,7;11,6;16,6
1,610;6,6;11,5;16,6
1,560;6,6;11,5;16,5
1,500;6,5;11,4;16,5
1,450;6,5;11,4;16,4
1,390;6,4;11,3;16,3
1,330;6,3;11,3;16,3
1,280;6,3;11,2;16,2
1,220;6,2;11,2;16,2
1,170;6,2;11,1;16,1
1,100;6,1;11,0;16,1
1,050;6,1;11,0;16,0
0,990;6,0;10,9;15,9
0,940;6,0;10,9;15,9
0,880;5,9;10,8;15,8
0,820;5,8;10,8;15,8
0,760;5,8;10,7;15,7
0,710;5,7;10,6;15,7
0,650;5,7;10,6;15,6
0,590;5,6;10,5;15,5
0,530;5,5;10,5;15,5
0,470;5,5;10,4;15,4
0,410;5,4;10,3;15,4
0,350;5,4;10,3;15,3
0,290;5,3;10,2;15,2
0,230;5,2;10,2;15,2
0,170;5,2;10,1;15,1
0,110;5,1;10,0;15,1
0,050;5,1;10,0;15,0
0,000;5,0;9,9;15,0
